Year,HI,SID
1990,0.207,0.793
1991,0.231,0.769
1992,0.22,0.78
1993,0.221,0.779
1994,0.213,0.787
1995,0.215,0.785
1996,0.215,0.785
1997,0.207,0.793
1998,0.203,0.797
1999,0.212,0.788
2000,0.215,0.785
2001,0.208,0.792
2002,0.21,0.79
2003,0.212,0.788
2004,0.204,0.796
2005,0.212,0.788
2006,0.218,0.782
2007,0.216,0.784
2008,0.211,0.789
2009,0.214,0.786
2010,0.217,0.783
2011,0.214,0.786
2012,0.215,0.785
2013,0.225,0.775
2014,0.216,0.784
2015,0.206,0.794
2016,0.197,0.803
2017,0.222,0.778
2018,0.212,0.788
2019,0.21,0.79
2020,0.209,0.791
