State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bihar,247144,256851,269650,279482,296488,318797,344028,381383,398329,368970,387256,425384,464540
Chhattisgarh,158074,165977,182580,185813,190584,213705,220136,244579,251549,251192,280609,302119,321945
Haryana,297539,320912,347507,370535,413405,456709,482036,532996,545124,496087,544317,587198,634027
Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,231755,219483,245856,265121,285070
Kerala,364048,387693,402781,419956,451210,485302,516190,554228,559194,511703,571983,596237,635137
Madhya Pradesh,315562,351683,365134,383944,418736,470669,497102,543272,567525,541016,584470,622908,660363
Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1888706,1957381,2046614,1852132,2047891,2241196,2410898
Rajasthan,434837,454564,486230,521509,563340,596746,628020,643278,678316,665963,725586,782287,845115
Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1243836,1244650,1342817,1451929,1571368
Uttar Pradesh,724050,758205,802070,834432,908241,1011500,1056399,1097353,1141630,1090378,1214875,1324255,1423358
Uttarakhand,115328,123710,134182,141278,152699,167703,180956,186083,189740,166786,184274,198341,213378
Delhi,343798,366628,392908,428355,475623,511765,542015,565327,586168,533634,580396,625981,672247
