"date","value","variable"
2014-01-01,8.6,"CPI inflation (YoY %)"
2014-02-01,7.88,"CPI inflation (YoY %)"
2014-03-01,8.25,"CPI inflation (YoY %)"
2014-04-01,8.48,"CPI inflation (YoY %)"
2014-05-01,8.33,"CPI inflation (YoY %)"
2014-06-01,6.77,"CPI inflation (YoY %)"
2014-07-01,7.39,"CPI inflation (YoY %)"
2014-08-01,7.03,"CPI inflation (YoY %)"
2014-09-01,5.63,"CPI inflation (YoY %)"
2014-10-01,4.62,"CPI inflation (YoY %)"
2014-11-01,3.27,"CPI inflation (YoY %)"
2014-12-01,4.28,"CPI inflation (YoY %)"
2015-01-01,5.19,"CPI inflation (YoY %)"
2015-02-01,5.37,"CPI inflation (YoY %)"
2015-03-01,5.25,"CPI inflation (YoY %)"
2015-04-01,4.87,"CPI inflation (YoY %)"
2015-05-01,5.01,"CPI inflation (YoY %)"
2015-06-01,5.4,"CPI inflation (YoY %)"
2015-07-01,3.69,"CPI inflation (YoY %)"
2015-08-01,3.74,"CPI inflation (YoY %)"
2015-09-01,4.41,"CPI inflation (YoY %)"
2015-10-01,5,"CPI inflation (YoY %)"
2015-11-01,5.41,"CPI inflation (YoY %)"
2015-12-01,5.61,"CPI inflation (YoY %)"
2016-01-01,5.69,"CPI inflation (YoY %)"
2016-02-01,5.26,"CPI inflation (YoY %)"
2016-03-01,4.83,"CPI inflation (YoY %)"
2016-04-01,5.47,"CPI inflation (YoY %)"
2016-05-01,5.76,"CPI inflation (YoY %)"
2016-06-01,5.77,"CPI inflation (YoY %)"
2016-07-01,6.07,"CPI inflation (YoY %)"
2016-08-01,5.05,"CPI inflation (YoY %)"
2016-09-01,4.39,"CPI inflation (YoY %)"
2016-10-01,4.2,"CPI inflation (YoY %)"
2016-11-01,3.63,"CPI inflation (YoY %)"
2016-12-01,3.41,"CPI inflation (YoY %)"
2017-01-01,3.17,"CPI inflation (YoY %)"
2017-02-01,3.65,"CPI inflation (YoY %)"
2017-03-01,3.89,"CPI inflation (YoY %)"
2017-04-01,2.99,"CPI inflation (YoY %)"
2017-05-01,2.18,"CPI inflation (YoY %)"
2017-06-01,1.46,"CPI inflation (YoY %)"
2017-07-01,2.36,"CPI inflation (YoY %)"
2017-08-01,3.28,"CPI inflation (YoY %)"
2017-09-01,3.28,"CPI inflation (YoY %)"
2017-10-01,3.58,"CPI inflation (YoY %)"
2017-11-01,4.88,"CPI inflation (YoY %)"
2017-12-01,5.21,"CPI inflation (YoY %)"
2018-01-01,5.07,"CPI inflation (YoY %)"
2018-02-01,4.44,"CPI inflation (YoY %)"
2018-03-01,4.28,"CPI inflation (YoY %)"
2018-04-01,4.58,"CPI inflation (YoY %)"
2018-05-01,4.87,"CPI inflation (YoY %)"
2018-06-01,4.92,"CPI inflation (YoY %)"
2018-07-01,4.17,"CPI inflation (YoY %)"
2018-08-01,3.69,"CPI inflation (YoY %)"
2018-09-01,3.7,"CPI inflation (YoY %)"
2018-10-01,3.38,"CPI inflation (YoY %)"
2018-11-01,2.33,"CPI inflation (YoY %)"
2018-12-01,2.11,"CPI inflation (YoY %)"
2019-01-01,1.97,"CPI inflation (YoY %)"
2019-02-01,2.57,"CPI inflation (YoY %)"
2019-03-01,2.86,"CPI inflation (YoY %)"
2019-04-01,2.99,"CPI inflation (YoY %)"
2019-05-01,3.05,"CPI inflation (YoY %)"
2019-06-01,3.18,"CPI inflation (YoY %)"
2019-07-01,3.15,"CPI inflation (YoY %)"
2019-08-01,3.28,"CPI inflation (YoY %)"
2019-09-01,3.99,"CPI inflation (YoY %)"
2019-10-01,4.62,"CPI inflation (YoY %)"
2019-11-01,5.54,"CPI inflation (YoY %)"
2019-12-01,7.35,"CPI inflation (YoY %)"
2020-01-01,7.59,"CPI inflation (YoY %)"
2020-02-01,6.58,"CPI inflation (YoY %)"
2020-03-01,5.84,"CPI inflation (YoY %)"
2020-06-01,6.23,"CPI inflation (YoY %)"
2020-07-01,6.73,"CPI inflation (YoY %)"
2020-08-01,6.69,"CPI inflation (YoY %)"
2020-09-01,7.27,"CPI inflation (YoY %)"
2020-10-01,7.61,"CPI inflation (YoY %)"
2020-11-01,6.93,"CPI inflation (YoY %)"
2020-12-01,4.59,"CPI inflation (YoY %)"
2021-01-01,4.06,"CPI inflation (YoY %)"
2021-02-01,5.03,"CPI inflation (YoY %)"
2021-03-01,5.52,"CPI inflation (YoY %)"
2021-04-01,4.23,"CPI inflation (YoY %)"
2021-05-01,6.3,"CPI inflation (YoY %)"
2021-06-01,6.26,"CPI inflation (YoY %)"
2021-07-01,5.59,"CPI inflation (YoY %)"
2021-08-01,5.3,"CPI inflation (YoY %)"
2021-09-01,4.35,"CPI inflation (YoY %)"
2021-10-01,4.48,"CPI inflation (YoY %)"
2021-11-01,4.91,"CPI inflation (YoY %)"
2021-12-01,5.66,"CPI inflation (YoY %)"
2022-01-01,6.01,"CPI inflation (YoY %)"
2022-02-01,6.07,"CPI inflation (YoY %)"
2022-03-01,6.95,"CPI inflation (YoY %)"
2022-04-01,7.79,"CPI inflation (YoY %)"
2022-05-01,7.04,"CPI inflation (YoY %)"
2022-06-01,7.01,"CPI inflation (YoY %)"
2022-07-01,6.71,"CPI inflation (YoY %)"
2022-08-01,7,"CPI inflation (YoY %)"
2022-09-01,7.41,"CPI inflation (YoY %)"
2022-10-01,6.77,"CPI inflation (YoY %)"
2022-11-01,5.88,"CPI inflation (YoY %)"
2022-12-01,5.72,"CPI inflation (YoY %)"
2023-01-01,6.52,"CPI inflation (YoY %)"
2023-02-01,6.44,"CPI inflation (YoY %)"
2023-03-01,5.66,"CPI inflation (YoY %)"
2023-04-01,4.7,"CPI inflation (YoY %)"
2023-05-01,4.31,"CPI inflation (YoY %)"
2023-06-01,4.87,"CPI inflation (YoY %)"
2023-07-01,7.44,"CPI inflation (YoY %)"
2023-08-01,6.83,"CPI inflation (YoY %)"
2023-09-01,5.02,"CPI inflation (YoY %)"
2023-10-01,4.87,"CPI inflation (YoY %)"
2023-11-01,5.55,"CPI inflation (YoY %)"
2023-12-01,5.69,"CPI inflation (YoY %)"
2024-01-01,5.1,"CPI inflation (YoY %)"
2024-02-01,5.09,"CPI inflation (YoY %)"
2024-03-01,4.85,"CPI inflation (YoY %)"
2024-04-01,4.83,"CPI inflation (YoY %)"
2024-05-01,4.8,"CPI inflation (YoY %)"
2024-06-01,5.08,"CPI inflation (YoY %)"
2024-07-01,3.6,"CPI inflation (YoY %)"
2024-08-01,3.65,"CPI inflation (YoY %)"
2024-09-01,5.49,"CPI inflation (YoY %)"
2024-10-01,6.21,"CPI inflation (YoY %)"
2024-11-01,5.48,"CPI inflation (YoY %)"
2024-12-01,5.22,"CPI inflation (YoY %)"
2025-01-01,4.26,"CPI inflation (YoY %)"
2025-02-01,3.61,"CPI inflation (YoY %)"
2025-03-01,3.34,"CPI inflation (YoY %)"
2025-04-01,3.16,"CPI inflation (YoY %)"
2025-05-01,2.82,"CPI inflation (YoY %)"
2025-06-01,2.1,"CPI inflation (YoY %)"
2025-07-01,1.61,"CPI inflation (YoY %)"
2025-08-01,2.07,"CPI inflation (YoY %)"
2025-09-01,1.44,"CPI inflation (YoY %)"
2025-10-01,0.25,"CPI inflation (YoY %)"
2025-11-01,0.71,"CPI inflation (YoY %)"
2025-12-01,1.33,"CPI inflation (YoY %)"
2026-01-01,2.74,"CPI inflation (YoY %)"
2026-02-01,3.21,"CPI inflation (YoY %)"
2026-03-01,3.4,"CPI inflation (YoY %)"
2026-04-01,3.48,"CPI inflation (YoY %)"
2026-05-01,3.93,"CPI inflation (YoY %)"
2026-06-01,4.38,"CPI inflation (YoY %)"
2026-07-01,4.45,"CPI inflation (YoY %)"
1994-04-01,-0.1,"IIP growth (YoY %)"
1994-05-01,1.4,"IIP growth (YoY %)"
1994-06-01,1.6,"IIP growth (YoY %)"
1994-07-01,3.4,"IIP growth (YoY %)"
1994-08-01,3.8,"IIP growth (YoY %)"
1994-09-01,3.6,"IIP growth (YoY %)"
1994-10-01,4.9,"IIP growth (YoY %)"
1994-11-01,9.6,"IIP growth (YoY %)"
1994-12-01,18.2,"IIP growth (YoY %)"
1995-01-01,20.6,"IIP growth (YoY %)"
1995-02-01,15.2,"IIP growth (YoY %)"
1995-03-01,27,"IIP growth (YoY %)"
1995-04-01,15.4,"IIP growth (YoY %)"
1995-05-01,13.3,"IIP growth (YoY %)"
1995-06-01,11.2,"IIP growth (YoY %)"
1995-07-01,12.8,"IIP growth (YoY %)"
1995-08-01,12.4,"IIP growth (YoY %)"
1995-09-01,15.8,"IIP growth (YoY %)"
1995-10-01,11.4,"IIP growth (YoY %)"
1995-11-01,12.3,"IIP growth (YoY %)"
1995-12-01,12.1,"IIP growth (YoY %)"
1996-01-01,12,"IIP growth (YoY %)"
1996-02-01,14.4,"IIP growth (YoY %)"
1996-03-01,13.5,"IIP growth (YoY %)"
1996-04-01,11.4,"IIP growth (YoY %)"
1996-05-01,13,"IIP growth (YoY %)"
1996-06-01,10,"IIP growth (YoY %)"
1996-07-01,7.2,"IIP growth (YoY %)"
1996-08-01,8.7,"IIP growth (YoY %)"
1996-09-01,3.9,"IIP growth (YoY %)"
1996-10-01,8.7,"IIP growth (YoY %)"
1996-11-01,2.2,"IIP growth (YoY %)"
1996-12-01,3.8,"IIP growth (YoY %)"
1997-01-01,1.5,"IIP growth (YoY %)"
1997-02-01,2.3,"IIP growth (YoY %)"
1997-03-01,3,"IIP growth (YoY %)"
1997-04-01,4.2,"IIP growth (YoY %)"
1997-05-01,3.9,"IIP growth (YoY %)"
1997-06-01,6.5,"IIP growth (YoY %)"
1997-07-01,8.2,"IIP growth (YoY %)"
1997-08-01,5.4,"IIP growth (YoY %)"
1997-09-01,8.6,"IIP growth (YoY %)"
1997-10-01,7,"IIP growth (YoY %)"
1997-11-01,10.6,"IIP growth (YoY %)"
1997-12-01,7.1,"IIP growth (YoY %)"
1998-01-01,8,"IIP growth (YoY %)"
1998-02-01,7,"IIP growth (YoY %)"
1998-03-01,3.8,"IIP growth (YoY %)"
1998-04-01,4.9,"IIP growth (YoY %)"
1998-05-01,4.3,"IIP growth (YoY %)"
1998-06-01,5.4,"IIP growth (YoY %)"
1998-07-01,3.8,"IIP growth (YoY %)"
1998-08-01,4.7,"IIP growth (YoY %)"
1998-09-01,3.2,"IIP growth (YoY %)"
1998-10-01,0,"IIP growth (YoY %)"
1998-11-01,5.2,"IIP growth (YoY %)"
1998-12-01,4.3,"IIP growth (YoY %)"
1999-01-01,5.1,"IIP growth (YoY %)"
1999-02-01,3.5,"IIP growth (YoY %)"
1999-03-01,4.5,"IIP growth (YoY %)"
1999-04-01,4.7,"IIP growth (YoY %)"
1999-05-01,7.4,"IIP growth (YoY %)"
1999-06-01,4.8,"IIP growth (YoY %)"
1999-07-01,6.2,"IIP growth (YoY %)"
1999-08-01,7.3,"IIP growth (YoY %)"
1999-09-01,7.3,"IIP growth (YoY %)"
1999-10-01,8.4,"IIP growth (YoY %)"
1999-11-01,3.8,"IIP growth (YoY %)"
1999-12-01,8.1,"IIP growth (YoY %)"
2000-01-01,4.9,"IIP growth (YoY %)"
2000-02-01,8.2,"IIP growth (YoY %)"
2000-03-01,8.3,"IIP growth (YoY %)"
2000-04-01,6.5,"IIP growth (YoY %)"
2000-05-01,6,"IIP growth (YoY %)"
2000-06-01,5.9,"IIP growth (YoY %)"
2000-07-01,5,"IIP growth (YoY %)"
2000-08-01,4.9,"IIP growth (YoY %)"
2000-09-01,5.8,"IIP growth (YoY %)"
2000-10-01,6.6,"IIP growth (YoY %)"
2000-11-01,7.3,"IIP growth (YoY %)"
2000-12-01,3.5,"IIP growth (YoY %)"
2001-01-01,4.5,"IIP growth (YoY %)"
2001-02-01,2.9,"IIP growth (YoY %)"
2001-03-01,2.3,"IIP growth (YoY %)"
2001-04-01,2.5,"IIP growth (YoY %)"
2001-05-01,1.6,"IIP growth (YoY %)"
2001-06-01,2.6,"IIP growth (YoY %)"
2001-07-01,2.6,"IIP growth (YoY %)"
2001-08-01,3,"IIP growth (YoY %)"
2001-09-01,2,"IIP growth (YoY %)"
2001-10-01,3.2,"IIP growth (YoY %)"
2001-11-01,2.4,"IIP growth (YoY %)"
2001-12-01,3,"IIP growth (YoY %)"
2002-01-01,3.8,"IIP growth (YoY %)"
2002-02-01,2.4,"IIP growth (YoY %)"
2002-03-01,3.2,"IIP growth (YoY %)"
2002-04-01,4.1,"IIP growth (YoY %)"
2002-05-01,4.1,"IIP growth (YoY %)"
2002-06-01,4.5,"IIP growth (YoY %)"
2002-07-01,7.1,"IIP growth (YoY %)"
2002-08-01,6.2,"IIP growth (YoY %)"
2002-09-01,6.2,"IIP growth (YoY %)"
