"year","variable","value"
2000,"GDP growth (%)",3.84099115686554
2001,"GDP growth (%)",4.82396626397303
2002,"GDP growth (%)",3.80397532120038
2003,"GDP growth (%)",7.86038147545045
2004,"GDP growth (%)",7.92293661307978
2005,"GDP growth (%)",7.92343062131789
2006,"GDP growth (%)",8.06073257305057
2007,"GDP growth (%)",7.66081506510766
2008,"GDP growth (%)",3.08669805950082
2009,"GDP growth (%)",7.8618888330338
2010,"GDP growth (%)",8.49758470165625
2011,"GDP growth (%)",5.24131620024293
2012,"GDP growth (%)",5.45638755164772
2013,"GDP growth (%)",6.38610640091713
2014,"GDP growth (%)",7.41022760516977
2015,"GDP growth (%)",7.99625378567987
2016,"GDP growth (%)",8.25630550176662
2017,"GDP growth (%)",6.79538341902422
2018,"GDP growth (%)",6.45385134495295
2019,"GDP growth (%)",3.87143694070524
2020,"GDP growth (%)",-5.77772470687303
2021,"GDP growth (%)",9.68959249191741
2022,"GDP growth (%)",7.6093649776932
2023,"GDP growth (%)",7.210224629335
2024,"GDP growth (%)",7.09927893176518
2025,"GDP growth (%)",7.56666179284244
2000,"Inflation (CPI, %)",4.0094359104519
2001,"Inflation (CPI, %)",3.77929312235637
2002,"Inflation (CPI, %)",4.29715203929562
2003,"Inflation (CPI, %)",3.80585899528853
2004,"Inflation (CPI, %)",3.76725173477517
2005,"Inflation (CPI, %)",4.24634362031924
2006,"Inflation (CPI, %)",5.79652337561634
2007,"Inflation (CPI, %)",6.37288135593231
2008,"Inflation (CPI, %)",8.34926704907575
2009,"Inflation (CPI, %)",10.8823529411764
2010,"Inflation (CPI, %)",11.9893899204245
2011,"Inflation (CPI, %)",8.9117933648336
2012,"Inflation (CPI, %)",9.47899691419793
2013,"Inflation (CPI, %)",10.0178784746104
2014,"Inflation (CPI, %)",6.66565671867899
2015,"Inflation (CPI, %)",4.90697344127249
2016,"Inflation (CPI, %)",4.94821634062134
2017,"Inflation (CPI, %)",3.32817337461305
2018,"Inflation (CPI, %)",3.93882646691643
2019,"Inflation (CPI, %)",3.72950573539123
2020,"Inflation (CPI, %)",6.6234367762853
2021,"Inflation (CPI, %)",5.13140747176364
2022,"Inflation (CPI, %)",6.69903414079858
2023,"Inflation (CPI, %)",5.64914318907925
2024,"Inflation (CPI, %)",4.95303550973661
2025,"Inflation (CPI, %)",2.39884954182294
